County,Month,Year,Application Status,Number of Applications
18 small counties,1,2010,Applications denied,261
18 small counties,1,2010,Applications/requests for restoration received,905
18 small counties,1,2010,Applications/restorations approved,402
18 small counties,1,2010,Total applications/restorations on hand,1618
18 small counties,1,2011,Applications denied,305
18 small counties,1,2011,Applications/requests for restoration received,1001
18 small counties,1,2011,Applications/restorations approved,408
18 small counties,1,2011,Total applications/restorations on hand,1686
18 small counties,1,2012,Applications denied,414
18 small counties,1,2012,Applications/requests for restoration received,1090
18 small counties,1,2012,Applications/restorations approved,368
18 small counties,1,2012,Total applications/restorations on hand,1514
18 small counties,1,2013,Applications denied,425
18 small counties,1,2013,Applications/requests for restoration received,1065
18 small counties,1,2013,Applications/restorations approved,382
18 small counties,1,2013,Total applications/restorations on hand,1442
18 small counties,1,2014,Applications denied,412
18 small counties,1,2014,Applications/requests for restoration received,990
18 small counties,1,2014,Applications/restorations approved,366
18 small counties,1,2014,Total applications/restorations on hand,1388
18 small counties,1,2015,Applications denied,307
18 small counties,1,2015,Applications/requests for restoration received,789
18 small counties,1,2015,Applications/restorations approved,313
18 small counties,1,2015,Total applications/restorations on hand,1192
18 small counties,10,2010,Applications denied,283
18 small counties,10,2010,Applications/requests for restoration received,856
18 small counties,10,2010,Applications/restorations approved,374
18 small counties,10,2010,Total applications/restorations on hand,1496
18 small counties,10,2011,Applications denied,409
18 small counties,10,2011,Applications/requests for restoration received,864
18 small counties,10,2011,Applications/restorations approved,383
18 small counties,10,2011,Total applications/restorations on hand,1639
18 small counties,10,2012,Applications denied,395
18 small counties,10,2012,Applications/requests for restoration received,937
18 small counties,10,2012,Applications/restorations approved,350
18 small counties,10,2012,Total applications/restorations on hand,1376
18 small counties,10,2013,Applications denied,423
18 small counties,10,2013,Applications/requests for restoration received,957
18 small counties,10,2013,Applications/restorations approved,335
18 small counties,10,2013,Total applications/restorations on hand,1389
18 small counties,10,2014,Applications denied,308
18 small counties,10,2014,Applications/requests for restoration received,739
18 small counties,10,2014,Applications/restorations approved,244
18 small counties,10,2014,Total applications/restorations on hand,1118
18 small counties,11,2010,Applications denied,319
18 small counties,11,2010,Applications/requests for restoration received,972
18 small counties,11,2010,Applications/restorations approved,381
18 small counties,11,2010,Total applications/restorations on hand,1647
18 small counties,11,2011,Applications denied,354
18 small counties,11,2011,Applications/requests for restoration received,979
18 small counties,11,2011,Applications/restorations approved,400
18 small counties,11,2011,Total applications/restorations on hand,1521
18 small counties,11,2012,Applications denied,353
18 small counties,11,2012,Applications/requests for restoration received,976
18 small counties,11,2012,Applications/restorations approved,360
18 small counties,11,2012,Total applications/restorations on hand,1391
18 small counties,11,2013,Applications denied,356
18 small counties,11,2013,Applications/requests for restoration received,863
18 small counties,11,2013,Applications/restorations approved,338
18 small counties,11,2013,Total applications/restorations on hand,1292
18 small counties,11,2014,Applications denied,237
18 small counties,11,2014,Applications/requests for restoration received,641
18 small counties,11,2014,Applications/restorations approved,246
18 small counties,11,2014,Total applications/restorations on hand,1036
18 small counties,12,2010,Applications denied,362
18 small counties,12,2010,Applications/requests for restoration received,908
18 small counties,12,2010,Applications/restorations approved,464
18 small counties,12,2010,Total applications/restorations on hand,1684
18 small counties,12,2011,Applications denied,372
18 small counties,12,2011,Applications/requests for restoration received,961
18 small counties,12,2011,Applications/restorations approved,454
18 small counties,12,2011,Total applications/restorations on hand,1454
18 small counties,12,2012,Applications denied,374
18 small counties,12,2012,Applications/requests for restoration received,857
18 small counties,12,2012,Applications/restorations approved,385
18 small counties,12,2012,Total applications/restorations on hand,1315
18 small counties,12,2013,Applications denied,431
18 small counties,12,2013,Applications/requests for restoration received,919
18 small counties,12,2013,Applications/restorations approved,357
18 small counties,12,2013,Total applications/restorations on hand,1347
18 small counties,12,2014,Applications denied,345
18 small counties,12,2014,Applications/requests for restoration received,817
